11-diethoxyethane|1دی اتوکسی اتان
minor sort|جورسازی فرعی
minor suit|خال خشتی
minor term|حد اصغر
minor vote|رای اقلیت
minor works|خرده گاری
minorant|کهتر
minorca|مدیترانه‌
minore|کمیده
minorer|کمیدن
minorite|راهب فرانسیسکان
minority|کهین
minority attack|حمله مینوریته
minority carriers|حامل‌های اقلیت
minority carriers current|جریان حامل‌های اقلیت
minority carriers density|چگالی حامل‌های اقلیت
minority carriers injection|تزریق حامل‌های اقلیت
minority carriers lifetime|طول عمر حامل‌های اقلیت
minority group|گروه اقلیت
minority interest|حق مالی سهامداران اقلیت
minority interest income|سود سهامداران اقلیت
minority interests|حقوق اقلیت
minority party|حزب اقلیت
minority shareholders|سهامداران اقلیت
minority smattering|تعداد قلیل
minority stock holders|سهامداران جزء سهامداران اقلیت
minority stockholders|سهامداران
minority-carrier diffusion length|معمولا حفره
minorized|کهاد شده
minors|صغار
minors of order r|مینور‌های مرتبه r
minotaur|دیگرش انسان بودن‌
minp|مانند MNPS
minral oil|روغن معدنی
minrecordite|نوعی کانی
minret method|روش مین‌رت
minsk|مینسک
minster|کلیسای بزرگ
minstrel|شاعر
minstrel minstrelsy|رامندی
minstrel show|نمایش مینسترل سیاه بازی
minstrelsy|باهاری
minstrelsy narration|نقالی
mint|ضرابخانه درم سرا
mint a mint conditio|نونو
mint a mint condition|نونو
mint jelly mint sauce|سس نعناع خوراک پردازی
mint jelly or sauce|خوراکپردازی سس نعناع
mint julep|شربت جلاب‌
mint master|رئیس ضرابخانه، رییس ضرابخانه
mint peppermint|آب نبات نعناعی
mint planning|برنامه‌ریزی مواد مورد نیاز
mintage|حق
minted money|پول فلزی
minterm|کمین لفظ
minterm canonical form|صورت متعارف جمله مینیمم
minting|ضرب
mintster of public w|وزیر فوایدعامه‌
mintster of public works|وزیر فوائدعامه، وزیر فوایدعامه
minty|نعناعی
minty mentholated|دارای طعم نعناع
minu|مینو
minu, minus|علامت منفی
minuend|کاهشیاب‌، کاهش یاب
minuet|رقص مینوات
minuitae|دقایق
minus clearance|تولرانس منفی
minus color signal|پیام رنگی منفی
minus cule|جزئی
minus eire|سیم منفی
minus infinity|منهای بینهایت
minus lable arrow|پیکان با برچسب منفی
minus sign|علامت منها یا منفی‌
minus strand|رشته منفی
minus tolerance|تلرانس منفی
minus zone|قسمت منفی موقعیت بیت در رمز کامپیوتری که نشان دهنده علامت منفی جبری است
minuscule|جزءی
minuscule, minus cule|خرد
minute|دقیقه
minute book|دفتر وقایع
minute glass|ساعت ریگی دقیقه ای
minute gun|توپ سلام
minute hand|دقیقه شمار
minute hand, minute-hand|عقربه دقیقه شمار
minute of angle|فاصله یک اینچی روی صفحه هدف
minute steak|استیک نازک
minute volume|حجم در دقیقه
minutely|مکرر پی در پی چند باره
minutely precision|با موشکافی
minuteman|احضار حاضر بخدمت نظ‌ام شوند
minuteman ii|اما برای حمل ماهواره‌های گردان به دور زمین LEO تغییر داده شد
minuteness|دقت
minutes|آن
minutes book|دفتر ثبت صورتلجلسات
minutes of a meeting|صورتجلسه
minutes of meeting mom|صورتجلسه
minutes proceedings|صورت جلسه
minutiae|فروع
minutie|فروع‌
minx|زن هرزه
minyan|مراسم مذهبی یهود
minyulite|سبز
miocene|میوسن
miocenic|وابسته به دوره سوم
miocrystalline|شیشه بلورین
miogeosyncline|همراه نیستند
miomagmatic zone|زون ناماگمایی
miomirite|نوعی داویدیت سرب دار
miosis|زیست شناسی تنگ شدن مردمک چشم هم کشی مردمک
miospore|بکار می‌رود
miosture|رطوبت‌، رط‌وبت‌
miosture index|شاخص رطوبت
miothermic|مقایسه شود با
mip mapping|فرآیندی که توسط آن بافت‌ها به قطعه‌های کوچک‌تری بریده می‌شوند به عنوان مثال با اندازه 2
mips|میپس
mips million instrument per second|واحد اندازه گیری برای مقایسه سرعت کامپیوتر‌ها
mir|میر
mir adel|میرعادل
mir eltefat|میرالتفات
mir esmail|میراسماعیل
mir yavar|میریاور
mira|قیطس
mirabeau|میرابو انقلابی و سخنور فرانسوی
mirabelle|آلوزرد
mirabile dictu|لاتین گفتن آن شگفت انگیز است
mirabilis|جنس لاله عباسی
mirabilite glauber|سفید
miracle|اعجاز
miracle play|واحد دمای رنگ‌
miracles|عجایب
miraculous|اعازی، اعجازی
miraculous wonder marvelous|معزه آسا
miraculously|مع
miraculousness|اعجاز امیزی
mirador|دیدگاه
mirage|وهم
mirage will-o'-the-wisp|سراب
miralon|لیف مصنوعی میرالون
miranda|امریکا
mirc|برنامه ای برای چت کردن
mire|لجن
mire roil|گلآلود کردن
mire slurry|گل و شل
mired|واحد دمای رنگ
mirex|نام بازرگانی حشرهکش میرکس
mirfak|جنب بر ساوس
miriam|میریام
miricle|کرامات
miriness|گل الودی
mirk|تیره
mirlon|لیف مصنوعی میرلون نایلون
miro|خوان میرو نقاش اسانیایی
mirocell|لیف مصنوعی میروسل استات
mirro|هل دادن
mirror|ایینه
mirror backed screen|صفحه تصویر الومینیمی
mirror decoration|آینه کاری
mirror drawing|نقاشی از ایینه
mirror effect|اثر تقارن
mirror finish|براق
mirror finished surface|سطح سیقلی
mirror frame|جعبه آینه
mirror galvanometer|گالوانومتر آیینه دار، گالوانومتر ائینه دار، گالوانومتر ایینه دار
mirror glass|شیشه آینه
mirror image|قرینه تایی
mirror instrument|دستگاه آینه دار، دستگاه اینه دار
mirror plane|صفحه آینه ای
mirror plane of symmetry|سطح آینه ای تقارن
mirror reading|وارونه خوانی
mirror reflex shutter|بندان آینه ای
mirror shot|تصویر آینه ای
mirror shutter|بندان آینه ای
mirror sites|سایت‌های آینه ای
mirror stone|سنگ آینه ای
mirror symmerty|تقارن ایینه ای
mirror telephone lens|عدسی تله فتوی آینه ای
mirror tracing|ترسیم از ایینه
mirror writing|وارونه نویسی
mirror writing shadow reading|کامپیوتر میزبان با دو دیسک فیزیکی برای بالا بردن سرعت دسترسی
mirror-reflection|می‌پذیرد
mirroring|قرینه سازی
mirrors|مرایا
mirth|عیش
mirthful|دلشاد
mirthfully|با خوشی
mirthfulness|شادی ونشاط، شادی و نشاط
mirthless|بی خوشی
mirthlessly|به طور غمگین
mirv|موشک میرو
miry|آلوده
miry ground|زمین خیس
miry swampy|باتلاق مانند
mirza|فارسی عنوان اشرافی که پیش یا پس از اسم میآید
mirzam|بتا
mis|پیشوند
mis department management information system|دپارتمان سیستم مدیریت اطلاعات
mis framing|خروج از کادر
mis matching|مچ غلط
mis pick|پود اشتباه
mis stitching|نقشه خرابی
mis-run casting|ریخته گری غلط
mis-spend|اتلاف
mis-statement|قلب واقعیت
misadjusted|بدتنظیم شده
misadventure|الب
misadventure misfortune|بدشانسی
misadvise|دادن به
misalign|تغییر یافتن
misalignment|تغییر
misalliance|وصلت ناجور
misallocation of resources|تخصیص نادرست منابع
misally|به طور ناجور یا غلط فرونشاندن یا تسکین دادن
misanthrope|مردم گریز
misanthropic|مربوط به انسان گریزی
misanthropic misanthrope|انسان گریز
misanthropical|s بیزار از انسان
misanthropical, misanthropic al|مردم‌گریز
misanthropist|کسیکه از جامعه و از انسان بیزار است
misanthropy|تنفر از جا
misapplication|اسناد غلط
misapplication office expenses|هزینه‌های متفرقه اداری
misapply|بد به کار بردن
misapprehend|بدفهمیدن، بد فهمیدن
misapprehend misconceive misunderstand|سو تفاهم پیدا کردن
misapprehend mistake misunderstand|درست نفهمیدن
misapprehension|عدم درک
misappropriate|غصب کردن
misappropriate peculate|حیف و میل کردن
misappropriation|غصب
misappropriation misuse peculation|حیف و میل
misappropriation of public property|تصرف غیر قانونی در اموال عمومی
misapropriation|غصب
misarrange|غلط مرتب کردن کژآراستن
misbecome|نیامدن به
misbecoming|نازیبا
misbegot|ناحق
misbegotten|خشوک
misbegotten paramour pause|مول
misbehaciour|بی ادبی
misbehave|کار بد کردن
misbehaving|بدرفتار
misbehavior|جفا
misbehaviour|جفا
misbelief|نا ایمانی
misbelieve|بی اعتقادشدن‌، بی اعتقادش شدن‌
misbeliever|ملحد
misbeseem|نیامدن به
misbrand|بطریق غلط داغ کردن‌
misc|مموعه جنگ
miscalcualte|بد شمردن
miscalculate|بد حساب کردن
miscalculate miscount|عوضی شمردن
miscalculation|محاسبه غلط
miscall|غلط نامیدن
miscarriage|شکست
miscarriage of justi|اشتباه قضایی‌
miscarriage of justice|اشتباه قضایی
miscarried|جنین ساقط
miscarry|عمدی
miscast|کردن‌
miscegenation|زناشویی میان نژادی
miscella|مایسل
miscellanea|جنگ ادبی
miscellanecousness|تنوع
miscellaneous|چند
miscellaneous areas|نواحی متفرقه
